Resp,Age,Use,CloudNum,Info,SecNum,BC,Aware,AC,FutureUse,Guide,PCA1,PCA2,KClusters,Index,NegNeg,NegPos,PosPos,PosNeg
58,19-24,Yes,2,Personal,0,7,No,3,Maybe,Yes,-0.630057319,0.769869222,2,58,,1,,
59,19-24,Yes,1,Personal,0,7,Yes,7,Maybe,Yes,-0.190753635,-0.250408999,0,59,1,,,
60,40+,Yes,1,Other,0,7,Yes,7,Maybe,Yes,1.564411262,-0.250408999,2,60,,,,1
61,19-24,Yes,1,Business,0,5,Yes,5,Maybe,Yes,0.749159101,0.259730111,2,61,,,1,
62,19-24,Yes,2,Personal,2,8,No,7,Yes,Yes,-1.620843571,-1.32518234,0,62,1,,,
63,19-24,Yes,1,Personal,0,1,No,1,No,Yes,1.03071454,0.742621662,2,63,,,1,
64,19-24,Yes,2,Business,1,9,No,3,Yes,Yes,-0.898060812,-0.304904119,0,64,1,,,
65,19-24,Yes,1,Personal,0,5,No,5,Maybe,No,0.216402423,1.111497506,2,65,,,1,
66,19-24,Yes,1,Personal,2,10,Yes,10,No,Maybe,-1.588695945,0.150530453,0,66,,1,,
67,19-24,Yes,1,Business,0,8,No,6,Maybe,Maybe,0.138425013,1.708195345,2,67,,,1,
68,25-30,Yes,2,Personal,1,8,Yes,8,Yes,Yes,-0.882413689,-1.580251896,0,68,1,,,
69,19-24,Yes,1,Personal,3,8,Yes,8,No,Maybe,-1.575143998,0.660669564,0,69,,1,,
70,19-24,Yes,2,Personal,1,1,No,2,Yes,Yes,0.197806745,-0.049834563,2,70,,,,1
,,,,,,,,,,,,,,,25,11,24,10
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,C1,C2,C3,
,,,,,,,,,,,,,,,36,30,4,
